Reference,Associated Study Title,Enrollment Years,Study Factors,Stressor Source Category,Exposure Stressor,Stressor Source Details,Number of Stressor Samples,Stressor Notes,Number of Receptors,Receptors,Receptor Notes,Smoking Status,Age,Sex,Race,Methods,LOD/LOQ,Detection Frequency (%),Medium,Exposure Marker,Marker Level,Measurement Statistic,Assay Notes,Country,State or Province,"City, Town, Region or Area",Exposure Event Notes,Outcome Relationship,Disease,Phenotype,Anatomy,Exposure Outcome Notes
31026035,Prospective Investigation of the Vasculature in Uppsala Seniors (PIVUS),2001-2004,,Dietary|Environmental,"2,2',3,3',4,4',5-heptachlorobiphenyl","environment and high-fat foods including dairy, eggs, and animal fats",,,814,Study subjects,,6% Current smoker,80 years (mean),49% Males (Only)|51% Females (Only),,Cox proportional hazard analysis,,,,,,,,Sweden,,Uppsala,,positive correlation,Cardiovascular Diseases,,,significant association between PCB 170 plasma levels and cardiovascular disease mortality
31026035,Prospective Investigation of the Vasculature in Uppsala Seniors (PIVUS),2001-2004,,Dietary|Environmental,"2,3,3',4,4',5-hexachlorobiphenyl","environment and high-fat foods including dairy, eggs, and animal fats",,,814,Study subjects,,6% Current smoker,80 years (mean),49% Males (Only)|51% Females (Only),,Cox proportional hazard analysis,,,,,,,,Sweden,,Uppsala,,prediction/hypothesis,Cardiovascular Diseases,,,significant association between PCB 156 plasma levels and cardiovascular disease mortality
31026035,Prospective Investigation of the Vasculature in Uppsala Seniors (PIVUS),2001-2004,,Dietary|Environmental,"2,3,4,5,3',4',5'-heptachlorobiphenyl","environment and high-fat foods including dairy, eggs, and animal fats",,,814,Study subjects,,6% Current smoker,80 years (mean),49% Males (Only)|51% Females (Only),,Cox proportional hazard analysis,,,,,,,,Sweden,,Uppsala,,positive correlation,Cardiovascular Diseases,,,significant association between PCB 189 plasma levels and cardiovascular disease mortality
23984298,Northway Health Study (NHS),2000-2000,,Environmental,"2,4,5-Trichlorophenoxyacetic Acid",use of Agent Orange-sprayed HFP corridor,,,,Study subjects,,,,,,survey method,,,,,,,,United States,Alaska,Northway,,prediction/hypothesis,Cardiovascular Diseases,,,
20187939,National Health and Nutrition Examination Survey (NHANES),1988-1994,,Commercial product|Environmental,"2,4-Dichlorophenoxyacetic Acid",Herbicides,,,727,Study subjects,,,20-59 years (range),Both Males and Females,35% Black|25% Mexican-American|2% Other|37% White,,,,urine,"2,4-Dichlorophenoxyacetic Acid",,,,United States,,,,prediction/hypothesis,Heart Diseases,,,
27023119,,2012-2013,,Environmental,acenaphthene,,,,170,Subjects with disease:Hypertension,housewives,67% Non-smoker|33% Passive smoker,>=30 years (range),100% Females (Only),,gas chromatography-mass spectrometry,,90.0,hair,acenaphthene,22.8 nanograms per gram,median,,China,Shanxi Province,,,,,,,
27023119,,2012-2013,,Environmental,acenaphthene,,,,170,Subjects with disease:Hypertension,housewives,67% Non-smoker|33% Passive smoker,>=30 years (range),100% Females (Only),,gas chromatography-mass spectrometry,,90.0,hair,acenaphthene,12.2-38.6 nanograms per gram,interquartile range,,China,Shanxi Province,,,,,,,
27023119,,2012-2013,,Environmental,acenaphthene,,,,235,Controls for disease:Hypertension,housewives,61% Non-smoker|39% Passive smoker,>=30 years (range),100% Females (Only),,gas chromatography-mass spectrometry,,90.0,hair,acenaphthene,33.5 nanograms per gram,median,,China,Shanxi Province,,,,,,,
27023119,,2012-2013,,Environmental,acenaphthene,,,,235,Controls for disease:Hypertension,housewives,61% Non-smoker|39% Passive smoker,>=30 years (range),100% Females (Only),,gas chromatography-mass spectrometry,,90.0,hair,acenaphthene,18.5-54.3 nanograms per gram,interquartile range,,China,Shanxi Province,,,,,,,
27023119,,2012-2013,,Environmental,acenaphthylene,,,,170,Subjects with disease:Hypertension,housewives,67% Non-smoker|33% Passive smoker,>=30 years (range),100% Females (Only),,gas chromatography-mass spectrometry,,88.0,hair,acenaphthylene,10.9 nanograms per gram,median,,China,Shanxi Province,,,,,,,
27023119,,2012-2013,,Environmental,acenaphthylene,,,,170,Subjects with disease:Hypertension,housewives,67% Non-smoker|33% Passive smoker,>=30 years (range),100% Females (Only),,gas chromatography-mass spectrometry,,88.0,hair,acenaphthylene,4.86-24.4 nanograms per gram,interquartile range,,China,Shanxi Province,,,,,,,
27023119,,2012-2013,,Environmental,acenaphthylene,,,,235,Controls for disease:Hypertension,housewives,61% Non-smoker|39% Passive smoker,>=30 years (range),100% Females (Only),,gas chromatography-mass spectrometry,,73.0,hair,acenaphthylene,4.47 nanograms per gram,median,,China,Shanxi Province,,,,,,,
27023119,,2012-2013,,Environmental,acenaphthylene,,,,235,Controls for disease:Hypertension,housewives,61% Non-smoker|39% Passive smoker,>=30 years (range),100% Females (Only),,gas chromatography-mass spectrometry,,73.0,hair,acenaphthylene,1.33-10.2 nanograms per gram,interquartile range,,China,Shanxi Province,,,,,,,
27023119,,2012-2013,,Environmental,acenaphthylene,,,,405,Study subjects,housewives,68% Non-smoker|32% Passive smoker,>=30 years (range),100% Females (Only),,unconditional logistic regression analysis,,,,,,,,China,Shanxi Province,,,positive correlation,Hypertension,,,"concentrations of acenaphthylene above median were associated with increased risk of Hypertension, adjusted odds ratio = 2.76 (95% CI: 1.65-4.63)"
25099132,Louisville Healthy Heart Study,2009-2011,,Environmental,Acrolein,,,,211,Study subjects,,,,53% Males (Only)|47% Females (Only),41% Black|2% Hispanic|57% White,gas chromatography-mass spectrometry | generalized linear models,,,urine,S-(3-hydroxypropyl)cysteine N-acetate,,,,United States,Kentucky,,,positive correlation,Cardiovascular Diseases,,,increased cardiovascular disease risk
12916744,,1995-1996,,Occupational,Agent Orange,chemical exposure in Vietnam,,,"1,224",Veterans,Korean Vietnam veterans,75% Current smoker|25% Non-smoker,45-64 years (range),100% Males (Only),100% Korean,Cochran-Mantel-Haenszel chi-square tests | estimation based on service and survey method | multiple logistic regression,,,,,,,,Vietnam,,,,positive correlation,Hypertension,,,odds ratio (OR) = 2.29 (95% CI: 1.33-3.95)
12916744,,1995-1996,,Occupational,Agent Orange,chemical exposure in Vietnam,,,"1,224",Veterans,Korean Vietnam veterans,75% Current smoker|25% Non-smoker,45-64 years (range),100% Males (Only),100% Korean,Cochran-Mantel-Haenszel chi-square tests | estimation based on service and survey method | multiple logistic regression,,,,,,,,Vietnam,,,,positive correlation,Myocardial Ischemia,,,significantly increased risk of ischemic heart disease (p<0.01)
12916744,,1995-1996,,Occupational,Agent Orange,chemical exposure in Vietnam,,,"1,224",Veterans,Korean Vietnam veterans,75% Current smoker|25% Non-smoker,45-64 years (range),100% Males (Only),100% Korean,Cochran-Mantel-Haenszel chi-square tests | estimation based on service and survey method | multiple logistic regression,,,,,,,,Vietnam,,,,positive correlation,Heart Valve Diseases,,,significantly increased risk of valvular heart disease (p<0.01)
27072425,,2007-2012,,Commercial product|Environmental,Air Pollutants,traffic,,,362,Subjects with disease:ST Elevation Myocardial Infarction,,44% Current smoker,62.3 years (mean),68% Males (Only)|32% Females (Only),15% Black|2% Hispanic|10% Other|74% White,aethalometer (for soot) | Cardiac Catheterization Laboratory Database | New York State Department of Environmental Conservation,,,"air, ambient",Soot,0.58 micrograms per cubic meter,mean,"black carbon, whole year hourly pollutant concentration",United States,New York,Monroe County,,,,,,
27072425,,2007-2012,,Commercial product|Environmental,Air Pollutants,traffic,,,362,Subjects with disease:ST Elevation Myocardial Infarction,,44% Current smoker,62.3 years (mean),68% Males (Only)|32% Females (Only),15% Black|2% Hispanic|10% Other|74% White,aethalometer (for soot) | Cardiac Catheterization Laboratory Database | New York State Department of Environmental Conservation,,,"air, ambient",Soot,0.24 micrograms per cubic meter,25th percentile,"black carbon, whole year hourly pollutant concentration",United States,New York,Monroe County,,,,,,
27072425,,2007-2012,,Commercial product|Environmental,Air Pollutants,traffic,,,362,Subjects with disease:ST Elevation Myocardial Infarction,,44% Current smoker,62.3 years (mean),68% Males (Only)|32% Females (Only),15% Black|2% Hispanic|10% Other|74% White,aethalometer (for soot) | Cardiac Catheterization Laboratory Database | New York State Department of Environmental Conservation,,,"air, ambient",Soot,0.44 micrograms per cubic meter,median,"black carbon, whole year hourly pollutant concentration",United States,New York,Monroe County,,,,,,
27072425,,2007-2012,,Commercial product|Environmental,Air Pollutants,traffic,,,362,Subjects with disease:ST Elevation Myocardial Infarction,,44% Current smoker,62.3 years (mean),68% Males (Only)|32% Females (Only),15% Black|2% Hispanic|10% Other|74% White,aethalometer (for soot) | Cardiac Catheterization Laboratory Database | New York State Department of Environmental Conservation,,,"air, ambient",Soot,0.77 micrograms per cubic meter,75th percentile,"black carbon, whole year hourly pollutant concentration",United States,New York,Monroe County,,,,,,
27072425,,2007-2012,,Commercial product|Environmental,Air Pollutants,traffic,,,362,Subjects with disease:ST Elevation Myocardial Infarction,,44% Current smoker,62.3 years (mean),68% Males (Only)|32% Females (Only),15% Black|2% Hispanic|10% Other|74% White,aethalometer (for soot) | Cardiac Catheterization Laboratory Database | New York State Department of Environmental Conservation,,,"air, ambient",Soot,11.74 micrograms per cubic meter,maximum,"black carbon, whole year hourly pollutant concentration",United States,New York,Monroe County,,,,,,
27072425,,2007-2012,,Commercial product|Environmental,Air Pollutants,traffic,,,362,Subjects with disease:ST Elevation Myocardial Infarction,,44% Current smoker,62.3 years (mean),68% Males (Only)|32% Females (Only),15% Black|2% Hispanic|10% Other|74% White,aethalometer (for soot) | Cardiac Catheterization Laboratory Database | New York State Department of Environmental Conservation,,,"air, ambient",Soot,0.51 micrograms per cubic meter,mean,"black carbon, November-April hourly pollutant concentration",United States,New York,Monroe County,,,,,,
27072425,,2007-2012,,Commercial product|Environmental,Air Pollutants,traffic,,,362,Subjects with disease:ST Elevation Myocardial Infarction,,44% Current smoker,62.3 years (mean),68% Males (Only)|32% Females (Only),15% Black|2% Hispanic|10% Other|74% White,aethalometer (for soot) | Cardiac Catheterization Laboratory Database | New York State Department of Environmental Conservation,,,"air, ambient",Soot,0.22 micrograms per cubic meter,25th percentile,"black carbon, November-April hourly pollutant concentration",United States,New York,Monroe County,,,,,,
27072425,,2007-2012,,Commercial product|Environmental,Air Pollutants,traffic,,,362,Subjects with disease:ST Elevation Myocardial Infarction,,44% Current smoker,62.3 years (mean),68% Males (Only)|32% Females (Only),15% Black|2% Hispanic|10% Other|74% White,aethalometer (for soot) | Cardiac Catheterization Laboratory Database | New York State Department of Environmental Conservation,,,"air, ambient",Soot,0.38 micrograms per cubic meter,median,"black carbon, November-April hourly pollutant concentration",United States,New York,Monroe County,,,,,,
27072425,,2007-2012,,Commercial product|Environmental,Air Pollutants,traffic,,,362,Subjects with disease:ST Elevation Myocardial Infarction,,44% Current smoker,62.3 years (mean),68% Males (Only)|32% Females (Only),15% Black|2% Hispanic|10% Other|74% White,aethalometer (for soot) | Cardiac Catheterization Laboratory Database | New York State Department of Environmental Conservation,,,"air, ambient",Soot,0.64 micrograms per cubic meter,75th percentile,"black carbon, November-April hourly pollutant concentration",United States,New York,Monroe County,,,,,,
27072425,,2007-2012,,Commercial product|Environmental,Air Pollutants,traffic,,,362,Subjects with disease:ST Elevation Myocardial Infarction,,44% Current smoker,62.3 years (mean),68% Males (Only)|32% Females (Only),15% Black|2% Hispanic|10% Other|74% White,aethalometer (for soot) | Cardiac Catheterization Laboratory Database | New York State Department of Environmental Conservation,,,"air, ambient",Soot,5.8 micrograms per cubic meter,maximum,"black carbon, November-April hourly pollutant concentration",United States,New York,Monroe County,,,,,,
27072425,,2007-2012,,Commercial product|Environmental,Air Pollutants,traffic,,,362,Subjects with disease:ST Elevation Myocardial Infarction,,44% Current smoker,62.3 years (mean),68% Males (Only)|32% Females (Only),15% Black|2% Hispanic|10% Other|74% White,aethalometer (for soot) | Cardiac Catheterization Laboratory Database | New York State Department of Environmental Conservation,,,"air, ambient",Soot,0.65 micrograms per cubic meter,mean,"black carbon, May-October hourly pollutant concentration",United States,New York,Monroe County,,,,,,
27072425,,2007-2012,,Commercial product|Environmental,Air Pollutants,traffic,,,362,Subjects with disease:ST Elevation Myocardial Infarction,,44% Current smoker,62.3 years (mean),68% Males (Only)|32% Females (Only),15% Black|2% Hispanic|10% Other|74% White,aethalometer (for soot) | Cardiac Catheterization Laboratory Database | New York State Department of Environmental Conservation,,,"air, ambient",Soot,0.27 micrograms per cubic meter,25th percentile,"black carbon, May-October hourly pollutant concentration",United States,New York,Monroe County,,,,,,
27072425,,2007-2012,,Commercial product|Environmental,Air Pollutants,traffic,,,362,Subjects with disease:ST Elevation Myocardial Infarction,,44% Current smoker,62.3 years (mean),68% Males (Only)|32% Females (Only),15% Black|2% Hispanic|10% Other|74% White,aethalometer (for soot) | Cardiac Catheterization Laboratory Database | New York State Department of Environmental Conservation,,,"air, ambient",Soot,0.52 micrograms per cubic meter,median,"black carbon, May-October hourly pollutant concentration",United States,New York,Monroe County,,,,,,
27072425,,2007-2012,,Commercial product|Environmental,Air Pollutants,traffic,,,362,Subjects with disease:ST Elevation Myocardial Infarction,,44% Current smoker,62.3 years (mean),68% Males (Only)|32% Females (Only),15% Black|2% Hispanic|10% Other|74% White,aethalometer (for soot) | Cardiac Catheterization Laboratory Database | New York State Department of Environmental Conservation,,,"air, ambient",Soot,0.89 micrograms per cubic meter,75th percentile,"black carbon, May-October hourly pollutant concentration",United States,New York,Monroe County,,,,,,
27072425,,2007-2012,,Commercial product|Environmental,Air Pollutants,traffic,,,362,Subjects with disease:ST Elevation Myocardial Infarction,,44% Current smoker,62.3 years (mean),68% Males (Only)|32% Females (Only),15% Black|2% Hispanic|10% Other|74% White,aethalometer (for soot) | Cardiac Catheterization Laboratory Database | New York State Department of Environmental Conservation,,,"air, ambient",Soot,11.74 micrograms per cubic meter,maximum,"black carbon, May-October hourly pollutant concentration",United States,New York,Monroe County,,,,,,
27072425,,2007-2012,,Commercial product|Environmental,Air Pollutants,traffic,,,362,Subjects with disease:ST Elevation Myocardial Infarction,,44% Current smoker,62.3 years (mean),68% Males (Only)|32% Females (Only),15% Black|2% Hispanic|10% Other|74% White,aethalometer (for soot) | Cardiac Catheterization Laboratory Database | New York State Department of Environmental Conservation,,,"air, ambient",Soot,,,,United States,New York,Monroe County,,no correlation,ST Elevation Myocardial Infarction,,,
27082954,CATHeterization GENetics (CATHGEN),2001-2011,genetics,Commercial product|Environmental,Air Pollutants,traffic exposure,,,554,Subjects with gene influence:BMP2,African-Americans,,56.3 years (mean),Both Males and Females,100% Black,,,,,,,,,United States,North Carolina,,,positive correlation,Peripheral Arterial Disease,,,
27082954,CATHeterization GENetics (CATHGEN),2001-2011,genetics,Commercial product|Environmental,Air Pollutants,traffic exposure,,,"1,623",Subjects with gene influence:BMP2,European-Americans,,61.2 years (mean),Both Males and Females,100% White,,,,,,,,,United States,North Carolina,,,positive correlation,Peripheral Arterial Disease,,,
27082954,CATHeterization GENetics (CATHGEN),2001-2011,genetics,Commercial product|Environmental,Air Pollutants,traffic exposure,,,"1,623",Subjects with gene influence:BMP8A,"rs755249, European-Americans",,61.2 years (mean),Both Males and Females,100% White,,,,,,,,,United States,North Carolina,,,positive correlation,Peripheral Arterial Disease,,,
28953453,"Danish Diet, Cancer, and Health Study (DCH)",1993-1997,genetics,Environmental,Air Pollutants,air pollution,,,"2,550",Subjects with disease:Heart Failure,,49% Current smoker|28% Former smoker|23% Never smoker,59.3 years (mean),64% Males (Only)|36% Females (Only),,AirGIS dispersion modeling,,,air,Nitrogen Dioxide,16.9 micrograms per cubic meter,median,,Denmark,,,,,,,,
28953453,"Danish Diet, Cancer, and Health Study (DCH)",1993-1997,genetics,Environmental,Air Pollutants,air pollution,,,"2,550",Subjects with disease:Heart Failure,,49% Current smoker|28% Former smoker|23% Never smoker,59.3 years (mean),64% Males (Only)|36% Females (Only),,AirGIS dispersion modeling,,,air,Nitrogen Dioxide,12.3 micrograms per cubic meter,5th percentile,,Denmark,,,,,,,,
28953453,"Danish Diet, Cancer, and Health Study (DCH)",1993-1997,genetics,Environmental,Air Pollutants,air pollution,,,"2,550",Subjects with disease:Heart Failure,,49% Current smoker|28% Former smoker|23% Never smoker,59.3 years (mean),64% Males (Only)|36% Females (Only),,AirGIS dispersion modeling,,,air,Nitrogen Dioxide,34.6 micrograms per cubic meter,95th percentile,,Denmark,,,,,,,,
29114965,EPICOR Study | European Prospective Investigation into Cancer and Nutrition (EPIC),1993-1998,,Environmental,Air Pollutants,air pollution,,,"14,712",Study subjects,mixed population of 661 cases of Cardiovascular and Cerebrovascular Disorders and 14051 controls,100% Non-smoker,35-65 years (range),Both Males and Females,,,,,,,,,,Italy,,,,positive correlation,Cardiovascular Diseases,,,"hazard ratio = 1.04 (95% CI 1.00-1.07), p=0.04 for each increase of 10 micrograms per cubic meter"
29114965,EPICOR Study | European Prospective Investigation into Cancer and Nutrition (EPIC),1993-1998,,Environmental,Air Pollutants,air pollution,,,"14,712",Study subjects,mixed population of 661 cases of Cardiovascular and Cerebrovascular Disorders and 14051 controls,100% Non-smoker,35-65 years (range),Both Males and Females,,,,,,,,,,Italy,,,,positive correlation,Cardiovascular Diseases,,,"hazard ratio = 1.29 (95% CI 1.05-1.60), p=0.02 for each increase of 5 micrograms per cubic meter"
29114965,EPICOR Study | European Prospective Investigation into Cancer and Nutrition (EPIC),1993-1998,,Environmental,Air Pollutants,air pollution,,,"14,712",Study subjects,mixed population of 661 cases of Cardiovascular and Cerebrovascular Disorders and 14051 controls,100% Non-smoker,35-65 years (range),Both Males and Females,,,,,,,,,,Italy,,,,positive correlation,Cerebrovascular Disorders,,,"hazard ratio = 1.04 (95% CI 1.00-1.07), p=0.04 for each increase of 10 micrograms per cubic meter"
29114965,EPICOR Study | European Prospective Investigation into Cancer and Nutrition (EPIC),1993-1998,,Environmental,Air Pollutants,air pollution,,,"14,712",Study subjects,mixed population of 661 cases of Cardiovascular and Cerebrovascular Disorders and 14051 controls,100% Non-smoker,35-65 years (range),Both Males and Females,,,,,,,,,,Italy,,,,positive correlation,Cerebrovascular Disorders,,,"hazard ratio = 1.29 (95% CI 1.05-1.60), p=0.02 for each increase of 5 micrograms per cubic meter"
29114965,EPICOR Study | European Prospective Investigation into Cancer and Nutrition (EPIC),1993-1998,,Environmental,Air Pollutants,air pollution,,,"18,982",Study subjects,mixed population of 948 cases of Cardiovascular and Cerebrovascular Disorders and 18034 controls,Current smoker|Non-smoker,35-65 years (range),Both Males and Females,,,,,,,,,,Italy,,,,positive correlation,Cardiovascular Diseases,,,"hazard ratio = 1.04 (95% CI 1.01-1.08), p=0.003 for each increase of 10 micrograms per cubic meter"
29114965,EPICOR Study | European Prospective Investigation into Cancer and Nutrition (EPIC),1993-1998,,Environmental,Air Pollutants,air pollution,,,"18,982",Study subjects,mixed population of 948 cases of Cardiovascular and Cerebrovascular Disorders and 18034 controls,Current smoker|Non-smoker,35-65 years (range),Both Males and Females,,,,,,,,,,Italy,,,,positive correlation,Cardiovascular Diseases,,,"hazard ratio = 1.01 (95% CI 1.00-1.03), p=0.02 for each increase of 10 micrograms per cubic meter"
29114965,EPICOR Study | European Prospective Investigation into Cancer and Nutrition (EPIC),1993-1998,,Environmental,Air Pollutants,air pollution,,,"18,982",Study subjects,mixed population of 948 cases of Cardiovascular and Cerebrovascular Disorders and 18034 controls,Current smoker|Non-smoker,35-65 years (range),Both Males and Females,,,,,,,,,,Italy,,,,positive correlation,Cardiovascular Diseases,,,"hazard ratio = 1.29 (95% CI 1.08-1.55), p=0.006 for each increase of 5 micrograms per cubic meter"
29114965,EPICOR Study | European Prospective Investigation into Cancer and Nutrition (EPIC),1993-1998,,Environmental,Air Pollutants,air pollution,,,"18,982",Study subjects,mixed population of 948 cases of Cardiovascular and Cerebrovascular Disorders and 18034 controls,Current smoker|Non-smoker,35-65 years (range),Both Males and Females,,,,,,,,,,Italy,,,,positive correlation,Cerebrovascular Disorders,,,"hazard ratio = 1.04 (95% CI 1.01-1.08), p=0.003 for each increase of 10 micrograms per cubic meter"
29114965,EPICOR Study | European Prospective Investigation into Cancer and Nutrition (EPIC),1993-1998,,Environmental,Air Pollutants,air pollution,,,"18,982",Study subjects,mixed population of 948 cases of Cardiovascular and Cerebrovascular Disorders and 18034 controls,Current smoker|Non-smoker,35-65 years (range),Both Males and Females,,,,,,,,,,Italy,,,,positive correlation,Cerebrovascular Disorders,,,"hazard ratio = 1.01 (95% CI 1.00-1.03), p=0.02 for each increase of 10 micrograms per cubic meter"
29114965,EPICOR Study | European Prospective Investigation into Cancer and Nutrition (EPIC),1993-1998,,Environmental,Air Pollutants,air pollution,,,"18,982",Study subjects,mixed population of 948 cases of Cardiovascular and Cerebrovascular Disorders and 18034 controls,Current smoker|Non-smoker,35-65 years (range),Both Males and Females,,,,,,,,,,Italy,,,,positive correlation,Cerebrovascular Disorders,,,"hazard ratio = 1.29 (95% CI 1.08-1.55), p=0.006 for each increase of 5 micrograms per cubic meter"
28953453,"Danish Diet, Cancer, and Health Study (DCH)",1993-1997,genetics,Environmental,Air Pollutants,air pollution,,,"50,594",Study subjects,total cohort of subjects who did and did not develop heart failure,36% Current smoker|28% Former smoker|36% Never smoker,56.2 years (mean),47% Males (Only)|53% Females (Only),,Cox proportional hazard model,,,,,,,,Denmark,,,,positive correlation,Heart Failure,,,
26765444,,2003-2013,,Environmental,Air Pollutants,air pollution,,,"1,200,000",Study subjects,resident population of Panama City,,,,,Poisson regression model,,,"air, ambient",Particulate Matter,,,,Panama,,Panama City,,positive correlation,Cardiovascular Diseases,,,"for PM10 levels greater than 40 micrograms per cubic meter, found an increase in cardiovascular mortality of 9.7%"
30721825,,2018-2018,,Environmental,Air Pollutants,"air pollution, residential with illegal electronic waste recycling",,particulate matter with aerodynamic diameter <=10 microns,132,Study subjects,"50 subjects from site I, 54 from site II, 28 from site III",,,,,one-way ANOVA,,,,,,,,India,,Moradabad City,,positive correlation,Hypertension,,,"statistically significant correlation between e-waste recycling at site III and control site I with hypertension, p=0.0006"
30721825,,2018-2018,,Environmental,Air Pollutants,"air pollution, residential with illegal electronic waste recycling",,particulate matter with aerodynamic diameter <=10 microns,132,Study subjects,"50 subjects from site I, 54 from site II, 28 from site III",,,,,one-way ANOVA,,,,,,,,India,,Moradabad City,,prediction/hypothesis,Cardiovascular Diseases,,,
21776219,,2003-2008,,Environmental,Air Pollutants,ambient air,,,,Study subjects,,,,,,,,,"air, ambient",Particulate Matter,,,,China,,Beijing,,positive correlation,Cardiovascular Diseases,,,
21776219,,2003-2008,,Environmental,Air Pollutants,ambient air,,,,Study subjects,,,,,,,,,"air, ambient",Sulfur Dioxide,,,,China,,Beijing,,positive correlation,Cardiovascular Diseases,,,
21776219,,2003-2008,,Environmental,Air Pollutants,ambient air,,,,Study subjects,,,,,,,,,"air, ambient",Nitrogen Dioxide,,,,China,,Beijing,,positive correlation,Cardiovascular Diseases,,,
32620124,,2014-2017,,Environmental,Air Pollutants,biomass burning,,,,,,,,,,daily outpatient hospital visits | generalised linear models using Poisson regression | ground-based monitors,,,"air, ambient",Particulate Matter,,,,Thailand,,,,positive correlation,Cerebrovascular Disorders,,,"daily PM10 and outpatient visits elevated most on same day as exposure for cerebrovascular disease, IRR = 1.020 (95% CI: 1.004, 1.035)"
26884048,,2011-2012,age,Environmental,Air Pollutants,diesel vehicle exhaust,,,,Study subjects,in both adults and elderly,,>15 years (range),,,ClearfLo project | emergency hospital admissions,,,"air, ambient",Carbon,,,,United Kingdom,,London,England,positive correlation,Cardiovascular Diseases,,,
26884048,,2011-2012,age,Environmental,Air Pollutants,diesel vehicle exhaust,,,,Study subjects,in both adults and elderly,,>15 years (range),,,ClearfLo project | emergency hospital admissions,,,"air, ambient",Soot,,,,United Kingdom,,London,England,positive correlation,Cardiovascular Diseases,,,
20161713,B-Vitamin Atherosclerosis Intervention Trial (BVAIT) | Estrogen in the Prevention of Atherosclerosis Trial (EPAT) | Troglitazone Atherosclerosis Regression Trial (TART) | Vitamin E Atherosclerosis Prevention Study (VEAPS) | Women's Estrogen-Progestin Lipid-Lowering Hormone Atherosclerosis Regression Trial (WELL-HART),1994-2006,,Environmental,Air Pollutants,home outdoor air,,,"1,483",Study subjects,,,30-89 years (range),Both Males and Females,32% Hispanic|18% Other|50% White,,,,air,Particulate Matter,,,Particulate Matter <= 2.5 microns in diameter,United States,,Los Angeles,,positive correlation,Atherosclerosis,,,
24056475,Stockholm Heart Epidemiology Program (SHEEP),,genetics,Environmental,Air Pollutants,long-term source specific heating-SO2,,,"1,192",Subjects with disease:Myocardial Infarction,,49% Current smoker|26% Former smoker|25% Never smoker,59.3 years (mean),71% Males (Only)|29% Females (Only),,geographical information system,,,"air, ambient",Sulfur Dioxide,2.8 micrograms per cubic meter,mean,"heating-SO2, 1 year average long-term exposure for cases",Sweden,,,,,,,,
24056475,Stockholm Heart Epidemiology Program (SHEEP),,genetics,Environmental,Air Pollutants,long-term source specific heating-SO2,,,"1,192",Subjects with disease:Myocardial Infarction,,49% Current smoker|26% Former smoker|25% Never smoker,59.3 years (mean),71% Males (Only)|29% Females (Only),,geographical information system,,,"air, ambient",Sulfur Dioxide,4.8 micrograms per cubic meter,mean,"heating-SO2, 5 years average long-term exposure for cases",Sweden,,,,,,,,
24056475,Stockholm Heart Epidemiology Program (SHEEP),,genetics,Environmental,Air Pollutants,long-term source specific heating-SO2,,,"1,192",Subjects with disease:Myocardial Infarction,,49% Current smoker|26% Former smoker|25% Never smoker,59.3 years (mean),71% Males (Only)|29% Females (Only),,geographical information system,,,"air, ambient",Sulfur Dioxide,26.3 micrograms per cubic meter,mean,"heating-SO2, 30 year averages long-term exposure for cases",Sweden,,,,,,,,
24056475,Stockholm Heart Epidemiology Program (SHEEP),,genetics,Environmental,Air Pollutants,long-term source specific heating-SO2,,,"1,506",Controls for disease:Myocardial Infarction,,29% Current smoker|31% Former smoker|40% Never smoker,60 years (mean),67% Males (Only)|33% Females (Only),,geographical information system,,,"air, ambient",Sulfur Dioxide,2.8 micrograms per cubic meter,mean,"heating-SO2, 1 year average long-term exposure for controls",Sweden,,,,,,,,
24056475,Stockholm Heart Epidemiology Program (SHEEP),,genetics,Environmental,Air Pollutants,long-term source specific heating-SO2,,,"1,506",Controls for disease:Myocardial Infarction,,29% Current smoker|31% Former smoker|40% Never smoker,60 years (mean),67% Males (Only)|33% Females (Only),,geographical information system,,,"air, ambient",Sulfur Dioxide,4.7 micrograms per cubic meter,mean,"heating-SO2, 5 years average long-term exposure for controls",Sweden,,,,,,,,
24056475,Stockholm Heart Epidemiology Program (SHEEP),,genetics,Environmental,Air Pollutants,long-term source specific heating-SO2,,,"1,506",Controls for disease:Myocardial Infarction,,29% Current smoker|31% Former smoker|40% Never smoker,60 years (mean),67% Males (Only)|33% Females (Only),,geographical information system,,,"air, ambient",Sulfur Dioxide,25.8 micrograms per cubic meter,mean,"heating-SO2, 30 year averages long-term exposure for controls",Sweden,,,,,,,,
24056475,Stockholm Heart Epidemiology Program (SHEEP),,genetics,Environmental,Air Pollutants,long-term source specific traffic-NO2,,,"1,192",Subjects with disease:Myocardial Infarction,,49% Current smoker|26% Former smoker|25% Never smoker,59.3 years (mean),71% Males (Only)|29% Females (Only),,geographical information system,,,"air, ambient",Nitrogen Dioxide,12.8 micrograms per cubic meter,mean,"traffic-NO2, 1 year average long-term exposure for cases",Sweden,,,,,,,,
24056475,Stockholm Heart Epidemiology Program (SHEEP),,genetics,Environmental,Air Pollutants,long-term source specific traffic-NO2,,,"1,192",Subjects with disease:Myocardial Infarction,,49% Current smoker|26% Former smoker|25% Never smoker,59.3 years (mean),71% Males (Only)|29% Females (Only),,geographical information system,,,"air, ambient",Nitrogen Dioxide,13.7 micrograms per cubic meter,mean,"traffic-NO2, 5 years average long-term exposure for cases",Sweden,,,,,,,,
